ISO Date,Reporting District,Count,Location
2021-07,1029,1,Pacific Coast Hwy & Topanga Canyon Blvd
2021-08,1012,4,Pacific Coast Hwy & Heathercliff Rd
2021-08,1012,2,Pacific Coast Hwy & Morning View Dr
2021-08,1014,2,Pacific Coast Hwy & Corral Canyon Rd
2021-08,1014,1,Pacific Coast Hwy & Malibu Rd
2021-08,1015,2,Pacific Coast Hwy & Malibu Canyon Rd
2021-08,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd
2021-08,1016,2,Pacific Coast Hwy & Rambla Pacifico
2021-08,1017,4,Pacific Coast Hwy & Las Flores Canyon Rd
2021-08,1017,2,Pacific Coast Hwy & Big Rock Dr
2021-08,1018,2,Pacific Coast Hwy & Tuna Canyon Rd
2021-09,1015,3,Pacific Coast Hwy & Sweetwater Canyon Rd
2021-09,1015,2,Pacific Coast Hwy & Cross Creek Rd
2021-09,1017,2,Pacific Coast Hwy & Big Rock Dr
2021-10,1014,1,25653 Pacific Coast Hwy
2021-10,1017,2,Pacific Coast Hwy & Big Rock Dr
2021-11,1010,2,Pacific Coast Hwy & Encinal Canyon Rd
2021-11,1012,2,Pacific Coast Hwy & Kanan Dume Rd
2021-11,1014,1,Pacific Coast Hwy & Puerco Canyon Rd
2021-11,1015,3,Pacific Coast Hwy & Webb Wy
2021-11,1015,2,Pacific Coast Hwy & Malibu Canyon Rd
2021-11,1016,2,Pacific Coast Hwy & Rambla Vista
2021-11,1081,1,Pacific Coast Hwy & Guernsey Av
2021-12,1011,1,Pacific Coast Hwy & Broad Beach Rd
2021-12,1014,1,Pacific Coast Hwy & Corral Canyon Rd
2021-12,1015,2,Pacific Coast Hwy & Serra Rd
2021-12,1017,1,Pacific Coast Hwy & Big Rock Dr
2022-01,1016,2,Pacific Coast Hwy & Carbon Canyon Rd
2022-01,1016,1,Pacific Coast Hwy & Carbon Beach Terrace
2022-01,1017,1,20136 Pacific Coast Hwy
2022-02,1011,2,Pacific Coast Hwy & Trancas Canyon Rd
2022-02,1011,1,Pacific Coast Hwy & Broad Beach Rd
2022-02,1015,4,Pacific Coast Hwy & Malibu Canyon Rd
2022-02,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd
2022-02,1016,3,Pacific Coast Hwy & Rambla Vista
2022-02,1016,1,21453 Pacific Coast Hwy
2022-02,1017,2,Pacific Coast Hwy & Big Rock Dr
2022-02,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd
2022-02,1018,1,Pacific Coast Hwy & Tuna Canyon Rd
2022-03,1011,1,Pacific Coast Hwy & Trancas Canyon Rd
2022-03,1015,3,Pacific Coast Hwy & Sweetwater Canyon Rd
2022-03,1015,2,Pacific Coast Hwy & Malibu Canyon Rd
2022-03,1016,2,Pacific Coast Hwy & Rambla Vista
2022-04,1014,1,Pacific Coast Hwy & John Tyler Dr
2022-04,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd
2022-04,1018,1,Pacific Coast Hwy & Topanga Beach Rd (1)
2022-05,1012,2,Pacific Coast Hwy & Escondido Beach Rd
2022-05,1015,2,Pacific Coast Hwy & Cross Creek Rd
2022-05,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd
2022-05,1016,2,Pacific Coast Hwy & Rambla Vista
2022-05,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd
2022-07,1010,2,Pacific Coast Hwy & Encinal Canyon Rd
2022-07,1012,2,Pacific Coast Hwy & Heathercliff Rd
2022-07,1015,2,Pacific Coast Hwy & Cross Creek Rd
2022-07,1015,2,Pacific Coast Hwy & Serra Rd
2022-07,1017,1,Pacific Coast Hwy & Big Rock Dr
2022-07,1081,1,Pacific Coast Hwy & Morning View Dr
2022-07,1082,1,Pacific Coast Hwy & Busch Dr
2022-08,1010,1,31369 Pacific Coast Hwy
2022-08,1016,4,Pacific Coast Hwy & Sweetwater Canyon Rd
2022-08,1016,3,Pacific Coast Hwy & Rambla Vista
2022-08,1017,3,Pacific Coast Hwy & Big Rock Dr
2022-08,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd
2022-08,1018,1,Pacific Coast Hwy & Big Rock Dr
2022-08,1080,1,Pacific Coast Hwy & El Pescador Beach Rd
2022-08,1082,2,Pacific Coast Hwy & Westward Beach Rd
2022-09,1012,1,Pacific Coast Hwy & Heathercliff Rd
2022-09,1029,1,Pacific Coast Hwy & Coastline Dr
2022-09,1081,1,30000 Pacific Coast Hwy
2022-11,1011,1,31369 Pacific Coast Hwy
2022-11,1014,2,Pacific Coast Hwy & Corral Canyon Rd
2022-11,1015,2,Pacific Coast Hwy & Serra Rd
2022-12,1015,2,Pacific Coast Hwy & Cross Creek Rd
2023-01,1011,1,30811 Pacific Coast Hwy
2023-01,1014,1,Pacific Coast Hwy & John Tyler Dr
2023-01,1015,3,Pacific Coast Hwy & Cross Creek Rd
2023-01,1016,2,Pacific Coast Hwy & Rambla Pacifico
2023-01,1016,1,Pacific Coast Hwy & Rambla Vista
2023-01,1017,3,Pacific Coast Hwy & Big Rock Dr
2023-01,1017,1,19734 Pacific Coast Hwy
2023-04,1010,2,Pacific Coast Hwy & Encinal Canyon Rd
2023-04,1010,1,Pacific Coast Hwy & Decker Canyon Rd
2023-04,1015,2,Pacific Coast Hwy & Cross Creek Rd
2023-04,1016,3,Pacific Coast Hwy & Rambla Vista
2023-04,1016,3,Pacific Coast Hwy & Sweetwater Canyon Rd
2023-04,1016,2,Pacific Coast Hwy & Rambla Pacifico
2023-04,1017,3,Pacific Coast Hwy & Las Flores Canyon Rd
2023-04,1017,1,Pacific Coast Hwy & Zuma Beach Access Rd
2023-06,6934,1,Pacific Coast Hwy & Decker Rd
2023-06,1015,1,Pacific Coast Hwy & Carbon Beach Terrace
2023-06,1017,3,Pacific Coast Hwy & Big Rock Dr
2023-06,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd
2023-06,1017,1,Pacific Coast Hwy & Tuna Canyon Rd
2023-07,1012,2,Pacific Coast Hwy & Winding Wy W
2023-07,1014,2,Pacific Coast Hwy & John Tyler Dr
2023-07,1015,2,Pacific Coast Hwy & Cross Creek Rd
2023-07,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd
2023-07,1016,2,Pacific Coast Hwy & Rambla Vista
2023-07,1017,2,Pacific Coast Hwy & Big Rock Dr
2023-07,1018,1,Pacific Coast Hwy & Morning View Dr
2023-09,1014,2,Pacific Coast Hwy & John Tyler Dr
2023-09,1014,1,Pacific Coast Hwy & Corral Canyon Rd
2023-09,1015,2,Pacific Coast Hwy & John Tyler Dr
2023-09,1016,1,Pacific Coast Hwy & Las Flores Canyon Rd
2023-09,1016,1,Pacific Coast Hwy & Topanga Beach Rd (1)
2023-09,1016,1,Pacific Coast Hwy & Corral Canyon Rd
2023-10,1015,3,Pacific Coast Hwy & Cross Creek Rd
2023-10,1015,2,Pacific Coast Hwy & Webb Wy
2023-10,1016,2,Pacific Coast Hwy & Rambla Vista
2023-11,1015,3,Pacific Coast Hwy & Serra Rd
2023-11,1015,2,Pacific Coast Hwy & Webb Wy
2023-11,1016,2,Pacific Coast Hwy & Rambla Vista
2023-12,1012,3,Pacific Coast Hwy & Busch Dr
2023-12,1015,1,Pacific Coast Hwy & Big Rock Dr
2023-12,1015,1,Pacific Coast Hwy & Big Rock Dr
