Sum - Number of Collisions,ISO Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-07,2022-08,2022-09,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-06,2023-07,2023-09,2023-10,2023-11,2023-12,(empty),Total Result
Pacific Coast Hwy & Sweetwater Canyon Rd,,,2,3,,,,2,3,,,,,2,3,,2,,4,,,,,1,2,3,,2,,,,,,29
Pacific Coast Hwy & Topanga Beach Rd,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,2
Pacific Coast Hwy & Topanga Canyon Blvd,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pacific Coast Hwy & Trancas Canyon Rd,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3
Pacific Coast Hwy & Tuna Canyon Rd,2,,,,,,,2,,,,,,1,,,,,,,,,,2,,,1,,,,,,,8
Pacific Coast Hwy & Webb Way,,,,,2,,,,,,3,,,,,,,,,,,,,,2,,,,,2,2,,,11
Pacific Coast Hwy & Westward Beach Rd,,1,,1,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,6
Pacific Coast Hwy & Winding Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
Pacific Coast Hwy & Zuma Beach Access Rd,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
(empty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Result,4,2,6,12,9,6,18,23,7,4,13,5,4,18,8,4,9,11,16,3,5,2,12,8,13,17,7,13,8,7,7,5,,286
