ISO Date,Year,Month,District,Number of Collisions,Location,Coordinates,Lat,Lon,Address,Comments
2022-05,2022,5,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-03,2023,3,1017,2,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2023-04,2023,4,1017,3,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-06,2023,6,1017,1,Pacific Coast Hwy & Las Flores Canyon Rd,"34.0369614,-118.6360392",34.0369614,-118.6360392,"Las Flores Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-01,2022,1,1017,1,20136 Pacific Coast Hwy,"34.0370154,-118.6136911",34.0370154,-118.6136911,"20136 Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-04,2021,4,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-06,2021,6,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-11,2021,11,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-02,2022,2,1016,3,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-03,2022,3,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-05,2022,5,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1016,3,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-01,2023,1,1016,1,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-03,2023,3,1016,3,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2023-04,2023,4,1016,3,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-07,2023,7,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-10,2023,10,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-11,2023,11,1016,2,Pacific Coast Hwy & Rambla Vista,"34.037174,-118.6381626",34.037174,-118.6381626,"Rambla Vista & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-12,2023,12,1015,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-12,2023,12,1015,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-01,2021,1,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-02,2021,2,1017,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-03,2021,3,1017,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-05,2021,5,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-07,2021,7,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-09,2021,9,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-10,2021,10,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-12,2021,12,1017,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-02,2022,2,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-07,2022,7,1017,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1017,3,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-01,2023,1,1017,3,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-06,2023,6,1017,3,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-07,2023,7,1017,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1018,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-02,2023,2,1018,1,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2023-03,2023,3,1018,2,Pacific Coast Hwy & Big Rock Dr,"34.037522,-118.6080288",34.037522,-118.6080288,"Big Rock Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2021-03,2021,3,1015,2,Pacific Coast Hwy & Carbon Canyon Rd,"34.0380806,-118.6501126",34.0380806,-118.6501126,"Carbon Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-07,2021,7,1015,2,Pacific Coast Hwy & Carbon Canyon Rd,"34.0380806,-118.6501126",34.0380806,-118.6501126,"Carbon Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-03,2021,3,1016,1,Pacific Coast Hwy & Carbon Canyon Rd,"34.0380806,-118.6501126",34.0380806,-118.6501126,"Carbon Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-05,2021,5,1016,3,Pacific Coast Hwy & Carbon Canyon Rd,"34.0380806,-118.6501126",34.0380806,-118.6501126,"Carbon Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-07,2021,7,1016,2,Pacific Coast Hwy & Carbon Canyon Rd,"34.0380806,-118.6501126",34.0380806,-118.6501126,"Carbon Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-01,2022,1,1016,2,Pacific Coast Hwy & Carbon Canyon Rd,"34.0380806,-118.6501126",34.0380806,-118.6501126,"Carbon Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-02,2023,2,1016,3,Pacific Coast Hwy & Carbon Canyon Rd,"34.0380806,-118.6501126",34.0380806,-118.6501126,"Carbon Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2022-02,2022,2,1016,1,21453 Pacific Coast Hwy,"34.0384193,-118.6421754",34.0384193,-118.6421754,"21453 Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1010,1,31369 Pacific Coast Hwy,"34.0384658,-118.8558006",34.0384658,-118.8558006,"31369 Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-11,2022,11,1011,1,31369 Pacific Coast Hwy,"34.0384658,-118.8558006",34.0384658,-118.8558006,"31369 Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-01,2023,1,1017,1,19734 Pacific Coast Hwy,"34.0385129,-118.6055585",34.0385129,-118.6055585,"19734 Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-03,2021,3,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-04,2021,4,1015,3,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-09,2021,9,1015,3,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-02,2022,2,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-03,2022,3,1015,3,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-05,2022,5,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-02,2023,2,1015,1,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2023-03,2023,3,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2023-07,2023,7,1015,2,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1016,4,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-04,2023,4,1016,3,Pacific Coast Hwy & Sweetwater Canyon Rd,"34.0385585,-118.6740962",34.0385585,-118.6740962,"Sweetwater Canyon Dr & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-05,2021,5,1011,1,Pacific Coast Hwy & Broad Beach Rd,"34.0389905,-118.8686357",34.0389905,-118.8686357,"Pacific Coast Hwy & Broad Beach Rd, Malibu, CA 90265, USA",
2021-12,2021,12,1011,1,Pacific Coast Hwy & Broad Beach Rd,"34.0389905,-118.8686357",34.0389905,-118.8686357,"Pacific Coast Hwy & Broad Beach Rd, Malibu, CA 90265, USA",
